subject,fs,n_channels,floor_samples,floor_s,naive_boundary_uv,overlap_boundary_uv,interior_uv,db_reduction,fallback_shift_ms,theory_shift_ms
SC4001E0,100,2,606,6.06,5.9156,0.66105,0.00894,19.04,1000.0,1005.0
SC4011E0,100,2,606,6.06,13.4781,0.86482,0.01157,23.85,1000.0,1005.0
SC4021E0,100,2,606,6.06,17.2004,0.95528,0.01557,25.11,1000.0,1005.0
SC4031E0,100,2,606,6.06,15.8421,0.88513,0.02153,25.06,1000.0,1005.0
SC4041E0,100,2,606,6.06,17.0951,0.99198,0.02382,24.73,1000.0,1005.0
SC4051E0,100,2,606,6.06,17.46,1.4738,0.02982,21.47,1005.0,1005.0
SC4061E0,100,2,606,6.06,14.4456,0.99883,0.02593,23.2,1000.0,1005.0
SC4071E0,100,2,606,6.06,13.1341,0.76412,0.01553,24.7,1005.0,1005.0
