dataset,source_name,channel,fs,location,policy,boundary_rmse_uv
chbmit,chb05_01.edf,0,256.0,record_start,reflect_zerophase,13.145094
chbmit,chb05_01.edf,0,256.0,interior,causal,26.193587
chbmit,chb05_01.edf,0,256.0,interior,reflect_zerophase,6.824588
chbmit,chb05_01.edf,0,256.0,interior,prefetch,0.001402
chbmit,chb05_01.edf,1,256.0,record_start,causal,63.718594
chbmit,chb05_01.edf,1,256.0,record_start,reflect_zerophase,5.053348
chbmit,chb05_01.edf,1,256.0,interior,causal,54.273654
chbmit,chb05_01.edf,1,256.0,interior,reflect_zerophase,10.39733
chbmit,chb05_01.edf,1,256.0,interior,prefetch,0.003005
chbmit,chb05_01.edf,2,256.0,record_start,causal,38.863163
chbmit,chb05_01.edf,2,256.0,record_start,reflect_zerophase,14.169108
chbmit,chb05_01.edf,2,256.0,interior,causal,53.878476
chbmit,chb05_01.edf,2,256.0,interior,reflect_zerophase,5.546751
chbmit,chb05_01.edf,2,256.0,interior,prefetch,0.004535
chbmit,chb05_01.edf,3,256.0,record_start,causal,53.153069
chbmit,chb05_01.edf,3,256.0,record_start,reflect_zerophase,11.1982
chbmit,chb05_01.edf,3,256.0,interior,causal,34.68471
chbmit,chb05_01.edf,3,256.0,interior,reflect_zerophase,0.710698
chbmit,chb05_01.edf,3,256.0,interior,prefetch,0.000664
chbmit,chb06_01.edf,0,256.0,record_start,causal,44.427336
chbmit,chb06_01.edf,0,256.0,record_start,reflect_zerophase,8.251064
chbmit,chb06_01.edf,0,256.0,interior,causal,114.177065
chbmit,chb06_01.edf,0,256.0,interior,reflect_zerophase,1.71024
chbmit,chb06_01.edf,0,256.0,interior,prefetch,0.002317
chbmit,chb06_01.edf,1,256.0,record_start,causal,72.958618
chbmit,chb06_01.edf,1,256.0,record_start,reflect_zerophase,30.722176
chbmit,chb06_01.edf,1,256.0,interior,causal,79.379757
chbmit,chb06_01.edf,1,256.0,interior,reflect_zerophase,4.343137
chbmit,chb06_01.edf,1,256.0,interior,prefetch,0.002697
chbmit,chb06_01.edf,2,256.0,record_start,causal,76.344246
chbmit,chb06_01.edf,2,256.0,record_start,reflect_zerophase,28.993047
chbmit,chb06_01.edf,2,256.0,interior,causal,123.511935
chbmit,chb06_01.edf,2,256.0,interior,reflect_zerophase,2.753643
chbmit,chb06_01.edf,2,256.0,interior,prefetch,0.000993
chbmit,chb06_01.edf,3,256.0,record_start,causal,70.766207
chbmit,chb06_01.edf,3,256.0,record_start,reflect_zerophase,21.319414
chbmit,chb06_01.edf,3,256.0,interior,causal,116.556074
chbmit,chb06_01.edf,3,256.0,interior,reflect_zerophase,8.993285
chbmit,chb06_01.edf,3,256.0,interior,prefetch,0.002249
chbmit,chb07_01.edf,0,256.0,record_start,causal,19.509882
chbmit,chb07_01.edf,0,256.0,record_start,reflect_zerophase,4.920802
chbmit,chb07_01.edf,0,256.0,interior,causal,266.246693
chbmit,chb07_01.edf,0,256.0,interior,reflect_zerophase,17.193959
chbmit,chb07_01.edf,0,256.0,interior,prefetch,0.000932
chbmit,chb07_01.edf,1,256.0,record_start,causal,25.717281
chbmit,chb07_01.edf,1,256.0,record_start,reflect_zerophase,8.356903
chbmit,chb07_01.edf,1,256.0,interior,causal,105.757277
chbmit,chb07_01.edf,1,256.0,interior,reflect_zerophase,8.330898
chbmit,chb07_01.edf,1,256.0,interior,prefetch,0.00194
chbmit,chb07_01.edf,2,256.0,record_start,causal,29.119453
chbmit,chb07_01.edf,2,256.0,record_start,reflect_zerophase,10.578176
chbmit,chb07_01.edf,2,256.0,interior,causal,26.120774
chbmit,chb07_01.edf,2,256.0,interior,reflect_zerophase,0.970048
chbmit,chb07_01.edf,2,256.0,interior,prefetch,0.001912
chbmit,chb07_01.edf,3,256.0,record_start,causal,27.793111
chbmit,chb07_01.edf,3,256.0,record_start,reflect_zerophase,1.182082
chbmit,chb07_01.edf,3,256.0,interior,causal,38.629657
chbmit,chb07_01.edf,3,256.0,interior,reflect_zerophase,1.3531
chbmit,chb07_01.edf,3,256.0,interior,prefetch,0.000897
chbmit,chb09_01.edf,0,256.0,record_start,causal,28.717351
chbmit,chb09_01.edf,0,256.0,record_start,reflect_zerophase,2.243601
chbmit,chb09_01.edf,0,256.0,interior,causal,42.206462
chbmit,chb09_01.edf,0,256.0,interior,reflect_zerophase,0.720897
chbmit,chb09_01.edf,0,256.0,interior,prefetch,0.002013
chbmit,chb09_01.edf,1,256.0,record_start,causal,45.431985
chbmit,chb09_01.edf,1,256.0,record_start,reflect_zerophase,1.993443
chbmit,chb09_01.edf,1,256.0,interior,causal,54.426953
chbmit,chb09_01.edf,1,256.0,interior,reflect_zerophase,1.166796
chbmit,chb09_01.edf,1,256.0,interior,prefetch,0.000998
chbmit,chb09_01.edf,2,256.0,record_start,causal,53.495445
chbmit,chb09_01.edf,2,256.0,record_start,reflect_zerophase,4.863452
chbmit,chb09_01.edf,2,256.0,interior,causal,63.423382
chbmit,chb09_01.edf,2,256.0,interior,reflect_zerophase,1.763146
chbmit,chb09_01.edf,2,256.0,interior,prefetch,0.000662
chbmit,chb09_01.edf,3,256.0,record_start,causal,48.152244
chbmit,chb09_01.edf,3,256.0,record_start,reflect_zerophase,0.241355
chbmit,chb09_01.edf,3,256.0,interior,causal,87.228671
chbmit,chb09_01.edf,3,256.0,interior,reflect_zerophase,2.229329
chbmit,chb09_01.edf,3,256.0,interior,prefetch,0.000695
chbmit,chb10_01.edf,0,256.0,record_start,causal,0.07089
